ID_key,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Extreme PinballPS,Extreme Pinball,PS,1995.0,Misc,Electronic Arts,0.18,0.12,0.0,0.02,0.32
SingularityX360,Singularity,X360,,Shooter,Unknown,0.24,0.05,0.0,0.02,0.32
Karaoke Revolution Volume 3PS2,Karaoke Revolution Volume 3,PS2,2004.0,Misc,Konami Digital Entertainment,0.16,0.12,0.0,0.04,0.32
Vin Diesel: WheelmanPS3,Vin Diesel: Wheelman,PS3,2009.0,Racing,Ubisoft,0.12,0.14,0.0,0.05,0.32
Army of Two: The 40th DayPSP,Army of Two: The 40th Day,PSP,2010.0,Shooter,Electronic Arts,0.12,0.13,0.0,0.08,0.32
Seaman: Kindan no Pet - Gaze Hakushi no Jikken ShimaPS2,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,2001.0,Simulation,ASCII Entertainment,0.0,0.0,0.32,0.0,0.32
Street Fighter Alpha 2SAT,Street Fighter Alpha 2,SAT,1995.0,Fighting,Virgin Interactive,0.0,0.0,0.32,0.0,0.32
Persona 4: Dancing All NightPSV,Persona 4: Dancing All Night,PSV,2015.0,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32
"Carnival Games: Monkey See, Monkey Do!X360","Carnival Games: Monkey See, Monkey Do!",X360,2011.0,Misc,Take-Two Interactive,0.14,0.15,0.0,0.03,0.32
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!PS,No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.3,0.02,0.32
Cartoon Network Collection: Game Boy Advance Video Platinum EditionGBA,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,,0.23,0.08,0.0,0.01,0.32
Ultimate Fighting Championship: ThrowdownPS2,Ultimate Fighting Championship: Throwdown,PS2,2002.0,Fighting,Ubisoft,0.16,0.12,0.0,0.04,0.32
Wipeout 2Wii,Wipeout 2,Wii,2011.0,Misc,Activision,0.3,0.0,0.0,0.02,0.32
SpongeBob SquarePants: Double PackGBA,SpongeBob SquarePants: Double Pack,GBA,2005.0,Platform,THQ,0.23,0.08,0.0,0.01,0.32
Tetris 2 + BomblissNES,Tetris 2 + Bombliss,NES,1991.0,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32
Disney's Extreme Skate AdventurePS2,Disney's Extreme Skate Adventure,PS2,2003.0,Sports,Activision,0.16,0.12,0.0,0.04,0.32
Rock Band Country Track PackPS2,Rock Band Country Track Pack,PS2,2009.0,Misc,MTV Games,0.16,0.12,0.0,0.04,0.32
PreyX360,Prey,X360,2006.0,Shooter,Take-Two Interactive,0.27,0.03,0.0,0.03,0.32
"Ed, Edd n Eddy: Jawbreakers!GBA","Ed, Edd n Eddy: Jawbreakers!",GBA,2002.0,Adventure,BAM! Entertainment,0.23,0.08,0.0,0.01,0.32
Dragster2600,Dragster,2600,,Racing,Activision,0.3,0.02,0.0,0.0,0.32
Frankenstein's Monster2600,Frankenstein's Monster,2600,1982.0,Action,Data Age,0.3,0.02,0.0,0.0,0.32
Shaun White SnowboardingPSP,Shaun White Snowboarding,PSP,2008.0,Sports,Ubisoft,0.26,0.03,0.0,0.03,0.32
Riven: The Sequel to MystPS,Riven: The Sequel to Myst,PS,1997.0,Adventure,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32
FolklorePS3,Folklore,PS3,2007.0,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.05,0.03,0.32
Derby Stallion DSDS,Derby Stallion DS,DS,2008.0,Sports,Enterbrain,0.0,0.0,0.32,0.0,0.32
Murdered: Soul SuspectPS4,Murdered: Soul Suspect,PS4,2014.0,Action,Square Enix,0.09,0.16,0.02,0.05,0.32
The Darkness IIPS3,The Darkness II,PS3,2012.0,Shooter,Take-Two Interactive,0.14,0.13,0.0,0.05,0.32
NBA 2K3XB,NBA 2K3,XB,2002.0,Sports,Sega,0.24,0.07,0.0,0.01,0.32
Dragon Quest Monsters: Battle Road VictoryWii,Dragon Quest Monsters: Battle Road Victory,Wii,2010.0,Strategy,Square Enix,0.0,0.0,0.32,0.0,0.32
Shin Momotarou DensetsuSNES,Shin Momotarou Densetsu,SNES,1993.0,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0,0.32
From TV Animation One Piece: Grand Battle! 3PS2,From TV Animation One Piece: Grand Battle! 3,PS2,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.32,0.0,0.32
Sega Smash PackGBA,Sega Smash Pack,GBA,2002.0,Misc,Atari,0.23,0.08,0.0,0.01,0.32
All-Star Baseball 2005PS2,All-Star Baseball 2005,PS2,,Sports,Unknown,0.16,0.12,0.0,0.04,0.32
The Conveni: Ano Machi wo Dokusen SeyoPS,The Conveni: Ano Machi wo Dokusen Seyo,PS,1997.0,Simulation,Human Entertainment,0.0,0.0,0.3,0.02,0.32
Shin Super Robot Taisen Special DiskPS,Shin Super Robot Taisen Special Disk,PS,1997.0,Strategy,Banpresto,0.0,0.0,0.3,0.02,0.32
Live A LiveSNES,Live A Live,SNES,1994.0,Role-Playing,SquareSoft,0.0,0.0,0.32,0.0,0.32
NFL Fever 2004XB,NFL Fever 2004,XB,2003.0,Sports,Microsoft Game Studios,0.24,0.07,0.0,0.01,0.32
Madden NFL 2002GBA,Madden NFL 2002,GBA,2001.0,Sports,Electronic Arts,0.23,0.08,0.0,0.01,0.32
Bigfoot: Collision CourseWii,Bigfoot: Collision Course,Wii,2008.0,Racing,Zoo Digital Publishing,0.3,0.0,0.0,0.02,0.32
FIFA Street 3X360,FIFA Street 3,X360,2008.0,Sports,Electronic Arts,0.14,0.14,0.0,0.03,0.32
Cabela's Dangerous Hunts 2011X360,Cabela's Dangerous Hunts 2011,X360,2010.0,Sports,Activision,0.28,0.01,0.0,0.02,0.32
UEFA Euro 2008 Austria-SwitzerlandPS2,UEFA Euro 2008 Austria-Switzerland,PS2,2008.0,Sports,Electronic Arts,0.03,0.0,0.0,0.28,0.32
Test Drive UnlimitedX360,Test Drive Unlimited,X360,2006.0,Racing,Atari,0.23,0.04,0.02,0.02,0.32
Marvel Nemesis: Rise of the ImperfectsPSP,Marvel Nemesis: Rise of the Imperfects,PSP,2005.0,Fighting,Electronic Arts,0.29,0.0,0.0,0.02,0.32
The Biggest LoserDS,The Biggest Loser,DS,2009.0,Sports,THQ,0.18,0.11,0.0,0.03,0.32
Power Rangers SamuraiDS,Power Rangers Samurai,DS,2011.0,Action,Namco Bandai Games,0.26,0.04,0.0,0.02,0.32
Kingdom Under Fire: The CrusadersXB,Kingdom Under Fire: The Crusaders,XB,2004.0,Strategy,Deep Silver,0.24,0.07,0.0,0.01,0.32
4x4 EvolutionPS2,4x4 Evolution,PS2,2001.0,Racing,Gathering of Developers,0.16,0.12,0.0,0.04,0.32
Clive Barker's JerichoX360,Clive Barker's Jericho,X360,2007.0,Shooter,Codemasters,0.28,0.01,0.0,0.02,0.32
Rise of the Tomb RaiderX360,Rise of the Tomb Raider,X360,2015.0,Adventure,Square Enix,0.18,0.11,0.0,0.03,0.32
Momotarou Dentetsu HappySNES,Momotarou Dentetsu Happy,SNES,1996.0,Misc,Hudson Soft,0.0,0.0,0.32,0.0,0.32
Power Rangers: Time ForcePS,Power Rangers: Time Force,PS,2001.0,Action,THQ,0.18,0.12,0.0,0.02,0.32
Romance of the Three Kingdoms VIIPS2,Romance of the Three Kingdoms VII,PS2,2000.0,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32
Goosebumps HorrorLandDS,Goosebumps HorrorLand,DS,2008.0,Adventure,Scholastic Inc.,0.29,0.0,0.0,0.02,0.32
Fable IIIPC,Fable III,PC,2011.0,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32
Littlest Pet Shop: City FriendsDS,Littlest Pet Shop: City Friends,DS,2009.0,Simulation,Electronic Arts,0.29,0.0,0.0,0.02,0.32
"Monsters, Inc.PS2","Monsters, Inc.",PS2,2002.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.32
DJ HeroPS2,DJ Hero,PS2,2009.0,Misc,Activision,0.1,0.02,0.0,0.2,0.32
Lord of ArcanaPSP,Lord of Arcana,PSP,2010.0,Role-Playing,Square Enix,0.07,0.04,0.17,0.03,0.32
Phineas and Ferb: Across the 2nd DimensionPS3,Phineas and Ferb: Across the 2nd Dimension,PS3,2011.0,Action,Disney Interactive Studios,0.15,0.11,0.0,0.05,0.32
Quiz Magic Academy DSDS,Quiz Magic Academy DS,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,0.32,0.0,0.32
Tekken 6PSP,Tekken 6,PSP,2009.0,Fighting,Namco Bandai Games,0.15,0.03,0.1,0.03,0.32
Chicken BlasterWii,Chicken Blaster,Wii,2009.0,Shooter,Zushi Games,0.29,0.0,0.0,0.02,0.32
Dynasty Warriors 4 EmpiresPS2,Dynasty Warriors 4 Empires,PS2,2004.0,Action,Tecmo Koei,0.0,0.0,0.32,0.0,0.32
Shenmue IIXB,Shenmue II,XB,2002.0,Adventure,Microsoft Game Studios,0.22,0.08,0.0,0.01,0.32
Crash of the TitansX360,Crash of the Titans,X360,2007.0,Action,Vivendi Games,0.27,0.02,0.0,0.02,0.32
LEGO Marvel's AvengersX360,LEGO Marvel's Avengers,X360,2016.0,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0.0,0.03,0.32
Skylanders SWAP ForceXOne,Skylanders SWAP Force,XOne,2013.0,Platform,Activision,0.22,0.06,0.0,0.03,0.32
Heart of DarknessPS,Heart of Darkness,PS,1998.0,Platform,Ocean,0.18,0.12,0.0,0.02,0.32
Rugby World Cup 2011PS3,Rugby World Cup 2011,PS3,2011.0,Sports,505 Games,0.0,0.24,0.0,0.07,0.32
Virtua Striker 2DC,Virtua Striker 2,DC,1999.0,Sports,Sega,0.0,0.0,0.32,0.0,0.32
F1 Race StarsPS3,F1 Race Stars,PS3,2012.0,Racing,Codemasters,0.06,0.19,0.0,0.06,0.32
Overlord IIPS3,Overlord II,PS3,2009.0,Action,Codemasters,0.11,0.15,0.0,0.06,0.32
WarCraft II: The Dark SagaPS,WarCraft II: The Dark Saga,PS,1997.0,Strategy,Electronic Arts,0.18,0.12,0.0,0.02,0.31
Shrek the ThirdPSP,Shrek the Third,PSP,2007.0,Action,Activision,0.08,0.15,0.0,0.09,0.31
MonHun Nikki: Poka Poka Ailu Mura GPSP,MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011.0,Role-Playing,Capcom,0.0,0.0,0.31,0.0,0.31
BlazBlue: Continuum ShiftX360,BlazBlue: Continuum Shift,X360,2010.0,Fighting,PQube,0.23,0.04,0.02,0.02,0.31
MLB 07: The ShowPS3,MLB 07: The Show,PS3,2007.0,Sports,Sony Computer Entertainment,0.29,0.0,0.0,0.02,0.31
Crash Nitro KartXB,Crash Nitro Kart,XB,2003.0,Racing,Vivendi Games,0.24,0.07,0.0,0.01,0.31
Etrian Odyssey III: The Drowned CityDS,Etrian Odyssey III: The Drowned City,DS,2010.0,Role-Playing,Atlus,0.12,0.0,0.19,0.01,0.31
Batman: Arkham OriginsPC,Batman: Arkham Origins,PC,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31
NBA ShootOutPS,NBA ShootOut,PS,1995.0,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Harry Potter and the Half-Blood PrinceX360,Harry Potter and the Half-Blood Prince,X360,2009.0,Action,Electronic Arts,0.17,0.11,0.0,0.03,0.31
Jikkyou Powerful Pro Yakyuu 14PS2,Jikkyou Powerful Pro Yakyuu 14,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Fishing MasterWii,Fishing Master,Wii,2007.0,Misc,Konami Digital Entertainment,0.29,0.0,0.0,0.02,0.31
Madden NFL 2004GBA,Madden NFL 2004,GBA,2003.0,Sports,Electronic Arts,0.22,0.08,0.0,0.01,0.31
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta RiyuuSNES,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995.0,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Jikkyou Powerful Pro Yakyuu Portable 3PSP,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Mario GolfGB,Mario Golf,GB,1999.0,Action,Nintendo,0.0,0.0,0.31,0.0,0.31
Digimon World: Dawn / DuskDS,Digimon World: Dawn / Dusk,DS,2007.0,Role-Playing,Namco Bandai Games,0.12,0.0,0.18,0.01,0.31
Sesame Street: Elmo's Letter AdventurePS,Sesame Street: Elmo's Letter Adventure,PS,1998.0,Misc,NewKidCo,0.17,0.12,0.0,0.02,0.31
Birthday Party BashWii,Birthday Party Bash,Wii,2009.0,Misc,Take-Two Interactive,0.29,0.0,0.0,0.02,0.31
NBA Inside Drive 2003XB,NBA Inside Drive 2003,XB,2002.0,Sports,Microsoft Game Studios,0.23,0.07,0.0,0.01,0.31
FIFA StreetPS2,FIFA Street,PS2,2005.0,Sports,Electronic Arts,0.15,0.12,0.0,0.04,0.31
Monster LabWii,Monster Lab,Wii,2008.0,Role-Playing,Eidos Interactive,0.27,0.02,0.0,0.02,0.31
Fate/ExtraPSP,Fate/Extra,PSP,2010.0,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31
Drakengard 3PS3,Drakengard 3,PS3,2013.0,Role-Playing,Square Enix,0.1,0.0,0.19,0.02,0.31
CatherineX360,Catherine,X360,2011.0,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.31
J Stars Victory Vs.PS3,J Stars Victory Vs.,PS3,2014.0,Fighting,Namco Bandai Games,0.05,0.05,0.2,0.02,0.31
Jampack: Summer 2003 (RP-M)PS2,Jampack: Summer 2003 (RP-M),PS2,2003.0,Misc,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31
Alone in the Dark: One-Eyed Jack's RevengePS,Alone in the Dark: One-Eyed Jack's Revenge,PS,1996.0,Adventure,Infogrames,0.17,0.12,0.0,0.02,0.31
Yu-Gi-Oh! The Dawn of DestinyXB,Yu-Gi-Oh! The Dawn of Destiny,XB,2004.0,Strategy,Konami Digital Entertainment,0.23,0.07,0.0,0.01,0.31
1001 Touch GamesDS,1001 Touch Games,DS,2011.0,Action,Avanquest,0.11,0.16,0.0,0.04,0.31
The Matrix: Path of NeoXB,The Matrix: Path of Neo,XB,2005.0,Action,Atari,0.23,0.07,0.0,0.01,0.31
Namco Museum: Virtual ArcadeX360,Namco Museum: Virtual Arcade,X360,2008.0,Misc,Atari,0.27,0.01,0.01,0.02,0.31
Bust-A-Move Universe3DS,Bust-A-Move Universe,3DS,2011.0,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31
Mortal Kombat: Shaolin MonksXB,Mortal Kombat: Shaolin Monks,XB,2005.0,Action,Midway Games,0.23,0.07,0.0,0.01,0.31
Batman: Arkham OriginsWiiU,Batman: Arkham Origins,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0.0,0.03,0.31
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure3DS,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014.0,Action,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31
Shin Megami Tensei: Devil Survivor 2DS,Shin Megami Tensei: Devil Survivor 2,DS,2011.0,Role-Playing,Ghostlight,0.16,0.01,0.12,0.01,0.31
EinhÃ¤nderPS,EinhÃ¤nder,PS,1997.0,Shooter,SquareSoft,0.1,0.07,0.13,0.02,0.31
Tiny Toon Adventures: The Great BeanstalkPS,Tiny Toon Adventures: The Great Beanstalk,PS,1998.0,Misc,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Sonic Boom: Rise of LyricWiiU,Sonic Boom: Rise of Lyric,WiiU,2014.0,Action,Sega,0.19,0.09,0.0,0.03,0.31
Metro: Last LightXOne,Metro: Last Light,XOne,2014.0,Action,Deep Silver,0.15,0.13,0.0,0.03,0.31
The Settlers 7: Paths to a KingdomPC,The Settlers 7: Paths to a Kingdom,PC,2010.0,Strategy,Ubisoft,0.0,0.27,0.0,0.05,0.31
WipEout PulsePSP,WipEout Pulse,PSP,2007.0,Racing,Sony Computer Entertainment,0.13,0.12,0.0,0.06,0.31
The Legend of Spyro: Dawn of the DragonX360,The Legend of Spyro: Dawn of the Dragon,X360,2008.0,Platform,Vivendi Games,0.16,0.12,0.0,0.03,0.31
Foto Frenzy: Spot The DiffrenceDS,Foto Frenzy: Spot The Diffrence,DS,2009.0,Puzzle,Storm City Games,0.29,0.0,0.0,0.02,0.31
Armored Core: Silent LinePS2,Armored Core: Silent Line,PS2,2003.0,Simulation,Agetec,0.07,0.06,0.16,0.02,0.31
SD Gundam G Generation WarsPS2,SD Gundam G Generation Wars,PS2,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31
Dr. Seuss: How the Grinch Stole ChristmasDS,Dr. Seuss: How the Grinch Stole Christmas,DS,2007.0,Action,CokeM Interactive,0.29,0.0,0.0,0.02,0.31
FuelX360,Fuel,X360,2009.0,Racing,Codemasters,0.09,0.18,0.0,0.04,0.31
Panzer Dragoon II ZweiSAT,Panzer Dragoon II Zwei,SAT,1995.0,Shooter,Sega,0.0,0.0,0.31,0.0,0.31
Tropico 5PS4,Tropico 5,PS4,2015.0,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31
KISS PinballPS,KISS Pinball,PS,2001.0,Action,Take-Two Interactive,0.17,0.12,0.0,0.02,0.31
Brothers In Arms: Earned in BloodXB,Brothers In Arms: Earned in Blood,XB,2005.0,Shooter,Ubisoft,0.23,0.07,0.0,0.01,0.31
LEGO Legends of Chima: Laval's Journey3DS,LEGO Legends of Chima: Laval's Journey,3DS,2013.0,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0.0,0.03,0.31
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2GBA,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005.0,Action,THQ,0.22,0.08,0.0,0.01,0.31
Super Robot Taisen Complete BoxPS,Super Robot Taisen Complete Box,PS,1999.0,Strategy,Banpresto,0.0,0.0,0.29,0.02,0.31
Peppa Pig: Theme Park FunDS,Peppa Pig: Theme Park Fun,DS,2011.0,Misc,P2 Games,0.0,0.27,0.0,0.04,0.31
Skylanders: SuperChargersPS4,Skylanders: SuperChargers,PS4,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.31
7 Wonders IIDS,7 Wonders II,DS,2009.0,Puzzle,Rondomedia,0.13,0.15,0.0,0.03,0.31
My Horse & MeWii,My Horse & Me,Wii,2007.0,Sports,Atari,0.27,0.02,0.0,0.02,0.31
Dark VoidX360,Dark Void,X360,2010.0,Action,Capcom,0.19,0.09,0.0,0.03,0.31
Gold's Gym: Cardio Workout (Others sales)Wii,Gold's Gym: Cardio Workout (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.29,0.0,0.02,0.31
Goemon's Great AdventureN64,Goemon's Great Adventure,N64,1998.0,Platform,Konami Digital Entertainment,0.06,0.02,0.13,0.1,0.31
Hot Wheels Turbo RacingN64,Hot Wheels Turbo Racing,N64,1999.0,Racing,Electronic Arts,0.25,0.06,0.0,0.0,0.31
Vigilante 8N64,Vigilante 8,N64,1998.0,Racing,Activision,0.25,0.06,0.0,0.0,0.31
Bass Hunter 64N64,Bass Hunter 64,N64,1999.0,Sports,Take-Two Interactive,0.25,0.06,0.0,0.0,0.31
Doubutsu no MoriN64,Doubutsu no Mori,N64,2001.0,Simulation,Nintendo,0.0,0.0,0.26,0.05,0.31
Jikkyou Powerful Pro Yakyuu 4N64,Jikkyou Powerful Pro Yakyuu 4,N64,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.05,0.31
Happy FeetDS,Happy Feet,DS,2006.0,Action,Midway Games,0.27,0.01,0.0,0.02,0.31
Manhunt 2PSP,Manhunt 2,PSP,2007.0,Action,Take-Two Interactive,0.04,0.17,0.0,0.09,0.31
Mega Man Maverick Hunter XPSP,Mega Man Maverick Hunter X,PSP,2005.0,Platform,Capcom,0.27,0.01,0.0,0.03,0.31
J-League Winning Eleven 2007: Club ChampionshipPS2,J-League Winning Eleven 2007: Club Championship,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Barbie as The Island PrincessDS,Barbie as The Island Princess,DS,2007.0,Adventure,Activision,0.28,0.01,0.0,0.02,0.31
Star Wars Jedi Knight II: Jedi OutcastXB,Star Wars Jedi Knight II: Jedi Outcast,XB,,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
Clash of the TitansPS3,Clash of the Titans,PS3,2010.0,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31
Mega Man Battle Network 2GBA,Mega Man Battle Network 2,GBA,2002.0,Action,Ubisoft,0.22,0.08,0.0,0.01,0.31
Major League Baseball 2K8PS3,Major League Baseball 2K8,PS3,2008.0,Sports,Bethesda Softworks,0.28,0.0,0.0,0.03,0.31
Pandora's TowerWii,Pandora's Tower,Wii,2011.0,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31
Mountain King2600,Mountain King,2600,1982.0,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
Jampack Volume 12PS2,Jampack Volume 12,PS2,2005.0,Misc,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31
Lord of the Rings: Battle for Middle-EarthX360,Lord of the Rings: Battle for Middle-Earth,X360,2006.0,Strategy,Electronic Arts,0.28,0.0,0.0,0.02,0.31
Shaun White SnowboardingPS2,Shaun White Snowboarding,PS2,2008.0,Sports,Ubisoft,0.15,0.12,0.0,0.04,0.31
SimAnimalsWii,SimAnimals,Wii,2009.0,Simulation,Electronic Arts,0.14,0.13,0.0,0.03,0.31
Tiger Woods PGA Tour 06X360,Tiger Woods PGA Tour 06,X360,2005.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.31
Shin Megami Tensei: Devil Summoner - Soul HackersSAT,Shin Megami Tensei: Devil Summoner - Soul Hackers,SAT,1997.0,Role-Playing,Atlus,0.0,0.0,0.31,0.0,0.31
MySims SkyHeroesDS,MySims SkyHeroes,DS,2010.0,Action,Electronic Arts,0.2,0.08,0.0,0.02,0.31
Jonah Lomu Rugby ChallengeX360,Jonah Lomu Rugby Challenge,X360,2011.0,Sports,Home Entertainment Suppliers,0.09,0.19,0.0,0.03,0.31
Demolition RacerPS,Demolition Racer,PS,1998.0,Racing,Infogrames,0.17,0.12,0.0,0.02,0.31
Midway Arcade Treasures 2XB,Midway Arcade Treasures 2,XB,2004.0,Misc,Midway Games,0.24,0.05,0.0,0.01,0.31
Final Fantasy IVPS,Final Fantasy IV,PS,1997.0,Simulation,SquareSoft,0.0,0.0,0.29,0.02,0.31
The Incredible HulkWii,The Incredible Hulk,Wii,2008.0,Action,Sega,0.28,0.01,0.0,0.02,0.31
NASCAR Thunder 2003GC,NASCAR Thunder 2003,GC,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,0.31
SD Gundam G Generation: OverworldPSP,SD Gundam G Generation: Overworld,PSP,2012.0,Strategy,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31
Shin Megami Tensei: Devil Summoner - Soul Hackers3DS,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012.0,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.31
Mega Man Zero CollectionDS,Mega Man Zero Collection,DS,2010.0,Platform,Capcom,0.17,0.01,0.11,0.02,0.31
SingStar Take ThatPS3,SingStar Take That,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.28,0.0,0.03,0.31
NHL FaceOff 2000PS,NHL FaceOff 2000,PS,1998.0,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Pro Evolution Soccer 2013X360,Pro Evolution Soccer 2013,X360,2012.0,Sports,Konami Digital Entertainment,0.08,0.2,0.0,0.03,0.31
Star Wars Racer RevengePS2,Star Wars Racer Revenge,PS2,2002.0,Racing,LucasArts,0.15,0.12,0.0,0.04,0.31
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of ArcadiaDS,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010.0,Strategy,Konami Digital Entertainment,0.18,0.01,0.09,0.02,0.31
NCAA Final Four 2002PS2,NCAA Final Four 2002,PS2,2001.0,Sports,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31
South Park: Chef's Luv ShackPS,South Park: Chef's Luv Shack,PS,1998.0,Misc,Acclaim Entertainment,0.17,0.12,0.0,0.02,0.31
Cabela's Outdoor Adventures (2009)Wii,Cabela's Outdoor Adventures (2009),Wii,2009.0,Sports,Activision Value,0.28,0.0,0.0,0.02,0.31
Music MakerPS2,Music Maker,PS2,2001.0,Misc,Magix,0.15,0.12,0.0,0.04,0.31
Slot Machine2600,Slot Machine,2600,,Action,Atari,0.29,0.02,0.0,0.0,0.31
Ganbare Goemon 2: Kiteretsu Shougun MagginesuSNES,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993.0,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Shrek's Carnival Craze Party GamesWii,Shrek's Carnival Craze Party Games,Wii,2008.0,Misc,Activision,0.28,0.0,0.0,0.02,0.31
Astroblast2600,Astroblast,2600,1981.0,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
40 WinksPS,40 Winks,PS,1999.0,Platform,GT Interactive,0.17,0.12,0.0,0.02,0.31
Blade IIPS2,Blade II,PS2,2002.0,Action,Activision,0.15,0.12,0.0,0.04,0.31
Calvin Tucker's Redneck JamboreeWii,Calvin Tucker's Redneck Jamboree,Wii,2008.0,Misc,Zoo Games,0.28,0.0,0.0,0.02,0.31
My Virtual Tutor: Reading Adventure Pre-K to KindergartenDS,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009.0,Misc,Mentor Interactive,0.29,0.0,0.0,0.02,0.31
TRON: EvolutionX360,TRON: Evolution,X360,2010.0,Action,Disney Interactive Studios,0.24,0.05,0.0,0.02,0.31
A Collection of Classic Games from the IntellivisionPS,A Collection of Classic Games from the Intellivision,PS,1999.0,Misc,Activision,0.17,0.12,0.0,0.02,0.31
Math PlayDS,Math Play,DS,2006.0,Puzzle,Ubisoft,0.28,0.0,0.0,0.02,0.31
Bruce Lee: Quest of the DragonXB,Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,Universal Interactive,0.23,0.07,0.0,0.01,0.31
Spin JamPS,Spin Jam,PS,2000.0,Puzzle,Empire Interactive,0.17,0.12,0.0,0.02,0.31
KuruKuru KururinGBA,KuruKuru Kururin,GBA,2001.0,Puzzle,Nintendo,0.0,0.0,0.3,0.01,0.31
Disney's The Emperor's New GroovePS,Disney's The Emperor's New Groove,PS,2000.0,Platform,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Dragon Ball Z: Battle of ZPS3,Dragon Ball Z: Battle of Z,PS3,2014.0,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31
DmC: Devil May CryPS4,DmC: Devil May Cry,PS4,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31
Disney's Stitch: Experiment 626PS2,Disney's Stitch: Experiment 626,PS2,2002.0,Action,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31
